speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.0253344,0.000630419,509.608,2.41689,41.9541,0.726009,2.19564,60.2458,3.66784
1,0.0446605,0.00111335,1621.51,4.12582,58.7392,1.09542,3.76035,123.528,3.82749
2,0.0359371,0.000895886,1304.78,3.31994,47.2658,0.881459,3.02585,99.3999,3.07988
3,0.0237854,0.000592859,870.188,2.21317,31.5341,0.587689,2.01713,66.1024,2.05339
4,0.0170199,0.000423778,654.207,1.65929,23.7625,0.441006,1.51235,48.7978,1.54068
5,0.0134545,0.000333981,555.166,1.36479,19.6049,0.364221,1.24296,42.1122,1.25472
6,0.0111371,0.000275609,489.723,1.17089,16.841,0.313264,1.06559,37.7737,1.0645
7,0.0101085,0.000249808,442.702,1.05364,14.8379,0.276977,0.95843,35.241,0.928435
8,0.00933237,0.000230348,407.497,0.966463,13.3345,0.249851,0.878748,33.4385,0.826432
9,0.00872581,0.000215148,380.154,0.899111,12.1645,0.228806,0.817183,32.0947,0.747121
10,0.00824055,0.000202988,358.279,0.845228,11.2286,0.211971,0.767931,31.0198,0.683671
11,0.00784355,0.000193039,340.382,0.801144,10.4628,0.198197,0.727635,30.1402,0.631759
12,0.00751269,0.000184748,325.467,0.764406,9.8246,0.186718,0.694054,29.4073,0.588498
13,0.00723275,0.000177733,312.848,0.733321,9.28461,0.177005,0.665641,28.7871,0.551893
14,0.00691178,0.00016968,301.735,0.69654,8.81126,0.168514,0.631968,28.1209,0.520438
15,0.00657941,0.000161336,291.906,0.65788,8.39398,0.161043,0.59655,27.4536,0.493124
16,0.00628858,0.000154035,283.305,0.624052,8.02885,0.154505,0.565559,26.8697,0.469224
17,0.00603197,0.000147593,275.717,0.594204,7.70668,0.148738,0.538214,26.3545,0.448136
18,0.00581711,0.000142199,268.986,0.568393,7.42023,0.143618,0.514568,25.9051,0.429412
19,0.00562838,0.00013746,262.968,0.54549,7.1639,0.13904,0.493588,25.5052,0.412666
20,0.00545855,0.000133196,257.552,0.52488,6.9332,0.13492,0.474708,25.1453,0.397595
21,0.00530489,0.000129337,252.652,0.506232,6.72449,0.131192,0.457624,24.8197,0.383959
22,0.00516519,0.00012583,248.197,0.489278,6.53473,0.127803,0.442094,24.5236,0.371562
23,0.00503764,0.000122627,244.13,0.473799,6.3615,0.124708,0.427914,24.2534,0.360245
24,0.00492073,0.000119691,240.402,0.45961,6.2027,0.121872,0.414916,24.0056,0.349869
25,0.00485456,0.000118024,237.273,0.454655,6.06771,0.119422,0.410391,23.8849,0.340399
26,0.00479678,0.000116566,234.436,0.45128,5.94422,0.117179,0.407316,23.7844,0.331669
27,0.00474294,0.000115207,231.812,0.448149,5.82982,0.115102,0.404462,23.691,0.323588
28,0.00469294,0.000113945,229.375,0.445241,5.72359,0.113173,0.401813,23.6043,0.316083
29,0.00464637,0.000112769,227.105,0.442532,5.62468,0.111377,0.399344,23.5233,0.309095
30,0.00459534,0.000111494,224.657,0.43943,5.53018,0.109681,0.396533,23.4425,0.302693
31,0.00448253,0.000108765,219.531,0.431586,5.42311,0.107922,0.389528,23.3196,0.297726
32,0.00437676,0.000106206,214.725,0.424231,5.3227,0.106272,0.38296,23.2042,0.293069
33,0.00427741,0.000103802,210.21,0.417323,5.22839,0.104723,0.376791,23.0961,0.288695
34,0.00418176,0.000101487,205.94,0.410395,5.13849,0.103257,0.370593,22.9908,0.284571
